picture,R,G,B
1_good.JPG,191.631,95.29509,32.06954
2_good.JPG,191.9185,95.99314,31.98272
3_good.JPG,191.3041,96.15846,32.04155
4_good.JPG,191.5316,96.08868,32.18046
5_good.JPG,190.5098,95.28651,32.09092
6_good.JPG,191.8945,95.65144,32.0837
7_good.JPG,191.7099,95.78595,32.06122
8_good.JPG,191.5192,95.79053,31.99887
9_good.JPG,191.7951,95.72189,31.9975
10_good.JPG,191.6023,95.36831,33.21569
11_good.JPG,190.8226,95.38177,31.92592
12_good.JPG,190.4797,95.24343,32.0079
13_good.JPG,191.0798,95.56865,32.03373
14_good.JPG,191.1621,95.56757,32.02692
15_good.JPG,191.5269,95.58132,32.03078
16_good.JPG,191.2017,95.52871,32.01725
17_good.JPG,191.5192,95.79053,31.99887
18_good.JPG,191.7951,95.72189,31.9975
